Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
Duraiswamipuram,0,0,207,106,60,41,206,1,0,1,52,154,2,205,2,190,14
Sankarapandiyapuram,1,0,102,51,43,11,103,2,1,0,20,82,1,100,0,97,0
Lakshmipuram,0,0,121,68,50,3,121,0,0,7,7,107,0,121,0,119,1
Kilanmarinadu,0,0,111,10,82,19,35,76,0,3,2,106,0,111,0,111,0
Appanayakkanpatti,0,0,5,0,5,0,5,0,0,0,0,5,0,4,0,4,0
Uthuppatti,0,0,44,0,42,2,44,0,0,0,3,40,19,24,0,37,5
Salvarpatti,0,0,15,0,4,11,11,4,0,3,4,8,0,15,0,14,1
Subramaniyapuram,0,0,7,1,2,4,4,3,0,3,1,3,0,7,0,7,0
Tayilupatti,0,0,8,0,1,7,2,6,0,5,0,3,0,8,0,8,0
Sippipparai,0,0,11,2,9,0,11,0,0,4,1,6,0,11,0,11,0
Thlukkankurichchi,0,0,5,0,1,4,5,0,0,0,0,5,0,5,0,5,0
Kuganparai,0,0,12,0,12,0,12,0,0,3,2,6,0,12,0,12,0
Edirkottai,0,0,5,2,2,1,5,0,0,0,0,5,0,5,0,5,0
Kangaraseval,0,0,21,1,4,16,8,9,5,5,5,11,0,21,0,21,0
Kongankulam,0,0,8,2,5,1,7,1,0,0,0,8,0,8,0,8,0
Nadukkudi,0,0,45,0,3,42,8,31,6,26,5,14,0,45,0,45,0
Kananjampatti,0,0,14,1,5,8,11,2,1,5,2,7,0,14,0,14,0
O.Muthuswamipuram,0,0,5,0,3,2,5,0,0,0,0,5,0,5,0,5,0
Kangarakottai,0,0,5,0,2,3,5,0,0,0,0,5,0,5,0,5,0
E. Ramanathapuram,0,0,5,0,4,1,5,0,0,0,0,5,0,5,0,5,0
Muthandipuram,0,0,3,2,1,0,0,3,0,1,0,2,0,3,0,3,0
Sevalpatti,0,0,127,7,95,25,123,4,0,6,7,113,0,126,1,125,0
Vijayakarisalkulam,0,0,6,0,2,4,5,1,0,1,0,5,0,6,0,6,0
Panaiyadippatti,0,0,8,3,3,2,8,0,0,0,1,7,0,8,0,8,0
Kundayiruppu,0,0,15,2,4,9,11,2,2,6,2,7,0,15,0,9,6
Vembakottai,0,0,23,2,7,14,23,0,0,9,7,7,0,23,0,21,2
Vijayarengapuram,0,0,5,0,2,3,2,3,0,0,0,5,0,5,0,5,0
Reddiyapatti,0,0,41,1,23,17,40,0,1,13,13,15,0,41,0,39,2
Sanankulam,0,0,90,8,77,5,83,7,0,1,0,89,0,89,0,90,0
Alangulam,0,0,22,0,9,13,12,9,1,7,6,9,0,22,0,20,2
Paranayakkanpatti,0,0,5,0,2,3,5,0,0,2,2,1,0,5,0,4,1
Paralachi,0,0,56,0,0,56,0,25,31,0,1,55,0,56,1,54,1
Vadakkunatham,0,0,24,0,0,24,24,0,0,0,0,24,0,24,0,16,8
Therkunatham,0,0,120,0,0,120,115,4,1,2,13,105,5,115,0,98,22
Thummuchinnampatti,0,0,118,0,0,118,103,12,3,0,16,102,0,118,1,92,25
Kutchampatti,0,0,27,0,0,27,2,9,16,0,1,26,0,27,0,27,0
Kulasekaranallur,0,0,77,0,0,77,42,28,7,3,21,53,0,77,0,74,3
Tiruchuli,0,0,104,0,0,104,29,64,11,0,11,93,0,104,7,55,42
Nathakkulam,0,0,2,0,0,2,2,0,0,0,0,2,0,2,0,2,0
Kallakkari,0,0,5,0,0,5,5,0,0,0,3,2,0,5,0,1,4
Purasaloor,0,0,6,0,0,6,6,0,0,0,0,6,0,6,0,5,1
Sengulam,0,0,4,0,0,4,4,0,0,0,0,4,0,4,0,3,1
Keelkudi,0,0,5,0,0,5,5,0,0,0,2,3,0,5,0,4,1
Poolangal,0,1,74,0,0,76,13,60,3,35,25,15,1,74,0,66,9
Vedanatham,1,0,99,0,0,100,99,1,0,0,5,95,1,99,0,66,34
Melakandamangalam,0,0,29,0,1,28,17,10,2,4,16,9,0,29,0,24,5
Udayarendal,0,0,20,0,0,20,3,11,6,0,5,15,0,20,0,20,0
Kadambankulam,0,0,41,0,0,41,22,4,15,0,7,34,0,41,0,41,0
Notchikkulam,0,0,32,0,0,32,8,13,11,0,3,29,0,32,0,32,0
Thammanaickenpatti,0,0,4,0,0,4,4,0,0,0,1,3,0,4,0,4,0
Kallumadam,0,0,30,0,0,30,6,3,21,3,12,15,0,30,0,6,24
Parattanatham,0,0,3,0,0,3,3,0,0,0,1,2,0,3,0,3,0
Aladipatti,0,0,7,0,0,7,7,0,0,0,0,7,0,7,0,7,0
Sennilakkudi,0,12,90,0,4,98,84,17,1,83,13,6,0,102,0,64,37
Soochaneri,0,0,6,0,0,6,0,6,0,0,3,3,0,6,0,6,0
Vidathakulam,0,0,10,0,0,10,0,0,10,0,1,9,0,10,10,0,0
Mithilaikulam,0,0,4,0,0,4,0,0,4,0,0,4,0,4,3,1,0
Sirumudalaikulam,0,0,4,0,0,4,0,0,4,0,1,3,0,4,4,0,0
Velayuthapuram,0,0,6,0,0,6,0,0,6,0,0,6,0,6,5,1,0
Melendal,0,0,8,0,0,8,0,0,8,0,0,8,0,8,6,2,0
Puliyangulam,0,0,11,0,0,11,0,0,11,0,0,11,0,11,11,0,0
Iluppaikkulam,0,0,7,0,0,7,0,0,7,0,0,7,0,7,4,3,0
Melaiyur,0,0,5,0,0,5,5,0,0,0,0,5,0,5,0,5,0
Chettikulam,0,0,4,0,0,4,0,0,4,0,2,2,0,4,3,1,0
Kanakai,0,0,5,0,0,5,0,1,4,0,3,2,0,5,4,1,0
Thirumalaipuram,0,0,50,1,25,24,23,27,0,3,2,45,0,50,4,8,37
Thoppalakarai,0,0,64,0,1,63,8,49,7,0,14,50,0,64,0,33,31
Suthamadam,1,0,64,2,39,24,29,36,0,0,0,64,0,65,0,6,59
Pullanaickenpatti,0,0,100,6,6,88,100,0,0,11,58,31,0,100,0,100,0
Rajagopalapuram,0,0,64,0,0,64,33,18,13,0.832587502,2.967955889,26.17220713,0,64,17,31,16
Rajagopalapuram,0,0,105,1,0,104,34,47,24,1,29,75,0,105,16,44,45
Konganakurichi,0,0,6,0,0,6,0,6,0,0,1,5,0,6,0,6,0
Kalyanasundarapuram,0,0,19,0,11,8,19,0,0,0,11,8,0,19,0,14,5
Maravarperungudi,0,0,29,0,7,22,29,0,0,1,2,26,0,29,0,12,17
Mandapasalai,0,0,21,0,7,14,21,0,0,3,8,10,0,21,0,19,2
Vadapalai,0,0,3,0,0,3,0,0,3,0,0,3,0,3,0,3,0
Paraikulam,0,0,3,0,3,0,0,3,0,1,0,2,0,3,0,3,0
Pillaiyarthottaiyankulam,0,0,4,0,4,0,2,2,0,0,2,2,0,4,0,4,0
Meludaikulam,0,0,4,0,2,2,0,0,4,0,0,4,0,4,0,4,0
Pulikurichi,0,0,4,0,0,4,4,0,0,0,4,0,0,4,0,3,1
Manavarayanendal,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
Tippampatti,0,0,3,0,1,2,0,3,0,0,3,0,0,3,0,3,0
Pannaimoonadradaippu,0,0,4,0,0,4,0,2,2,0,0,4,0,4,0,4,0
Muthuramalingapuram,0,0,5,0,0,5,5,0,0,0,3,2,0,5,0,5,0
Sundakottai,0,0,3,0,0,3,3,0,0,0,3,0,0,3,0,3,0
Narthampatti,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,2,0
Kalayarkarisalkulam,0,0,8,0,7,1,8,0,0,0,8,0,0,8,0,8,0
Bommakottai,0,0,3,0,2,1,3,0,0,0,3,0,0,3,0,3,0
Kullampatti,0,0,4,0,0,4,4,0,0,0,4,0,0,4,0,4,0
Savaspuram,0,0,4,0,0,4,4,0,0,0,4,0,0,4,0,4,0
Kallorani,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,2,0
Salukkuvarpatti,0,0,43,0,0,43,4,9,30,2,28,13,0,43,0,4,39
Erasinnampatti,0,0,21,0,0,21,4,7,10,5,11,5,0,21,0,4,17
Keelrajakularaman,0,0,205,198,7,0,203,0,2,9,50,146,0,205,0,203,2
Puvani,0,0,101,61,37,3,98,2,1,0,19,82,0,101,0,101,0
Reghunathapuram,0,0,102,21,45,36,59,42,1,6,38,57,0,101,0,84,17
Pillaiyarnatham,0,0,100,18,31,51,4,91,5,1,27,72,0,100,0,100,0
Mamsapuram,0,0,14,0,12,2,9,5,0,0,3,11,0,14,0,14,0
Singammalpuram,0,0,21,1,20,0,21,0,0,0,0,20,0,21,0,20,1
Valaikulam RF,0,0,26,6,14,6,9,17,0,5,1,20,0,26,0,26,0
Arasiyarpatti,0,0,7,0,7,0,7,0,0,0,0,7,2,5,0,7,0
Kothankulam,0,0,16,0,13,3,13,3,0,3,6,7,1,15,0,15,1
Srivilliputtur,0,0,10,0,10,0,10,0,0,0,0,10,0,10,0,10,0
Viluppanur,0,0,62,21,31,10,48,14,0,6,17,39,0,62,0,61,1
Achchandavilthan,0,0,12,10,2,0,12,0,0,0,1,11,0,12,0,12,0
Mullikulam,0,0,5,0,4,1,4,0,1,0,0,5,0,5,0,5,0
Nallingaperi,0,0,3,0,2,1,1,0,1,1,0,2,0,3,0,3,0
Pattakkulam Sallipatti,0,0,11,0,2,9,2,7,2,7,1,3,0,11,0,11,0
Tadagannai Managaseri,0,0,5,0,5,0,5,0,0,0,0,5,0,5,0,5,0
Deyvendri,0,0,93,66,25,2,91,1,1,2,0,91,0,93,0,93,0
Pillaiyarkulam (part),0,0,22,14,6,2,20,1,1,2,0,20,0,22,0,22,0
Muthuvenkatarayapuram,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Sivandipatti,0,0,10,6,4,0,10,0,0,0,1,9,0,10,0,10,0
Ponnangani,0,0,5,2,3,0,5,0,0,0,0,5,0,5,0,5,0
Padikkasu vaithanpatti (CT),0,0,7,0,6,1,6,1,0,0,0,7,0,7,0,7,0
Nachchiyarkovil,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,0
Malli,0,0,11,0,11,0,11,0,0,0,0,11,0,11,0,9,2
Athikulam Sengulam,0,0,2,0,0,2,0,2,0,0,2,0,0,2,0,2,0
Venkateswarapuram,0,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0
Vadakkusrivilliputhur,0,0,2,0,0,2,0,2,0,0,2,0,0,2,0,2,0
Valaikkulam R.F.,0,0,2,0,0,2,0,2,0,2,0,0,0,2,0,2,0
Injar,0,0,108,10,54,44,88,20,0,0,1,107,0,108,2,106,0
Anaiyur (CT),0,0,158,88,62,8,148,10,0,0,3,155,0,158,0,158,0
Mangalam,0,0,115,32,76,7,114,1,0,0,3,112,0,114,0,113,0
Kiltiruthangal (Part),0,0,179,96,73,10,173,4,2,2,3,173,0,179,0,175,1
Thiruthangal (Part),0,0,47,25,19,3,46,1,0,0,2,45,0,47,0,47,0
Anaiyur (Part),0,0,47,6,40,1,45,1,1,0,0,47,0,47,0,47,0
Anuppankulam (CT),0,0,15,0,14,1,14,0,1,0,0,15,0,15,0,15,0
Anaikkuttam,0,0,6,0,6,0,6,0,0,0,0,6,0,6,0,6,0
A.Meenachipuram,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Pudukkottai,0,0,114,10,89,15,112,1,1,0,4,110,0,114,0,36,78
Tachchakkudi,0,0,10,0,8,2,10,0,0,0,3,7,0,10,0,10,0
Vendurayapuram,0,0,10,0,7,3,10,0,0,0,0,9,1,8,0,9,0
Krishnaperi,0,0,13,0,7,6,13,0,0,0,2,11,0,13,0,13,0
Nedungulam,0,1,13,0,12,2,12,2,0,1,2,10,0,13,0,11,0
Namaskarittanpatti,0,0,11,1,9,1,11,0,0,0,1,10,0,11,0,8,0
Vadapatti,0,0,24,4,9,11,22,2,0,0,7,17,0,24,0,23,1
Erichchanatham,1,0,115,2,48,67,74,40,3,33,14,69,0,116,1,113,1
Sevalur,0,0,10,0,8,2,9,1,0,0,1,9,0,10,0,9,0
Kalayarkurichchi,0,0,10,0,10,0,10,0,0,0,0,10,0,10,0,10,0
Kavundampatti,0,0,14,0,11,3,13,1,0,0,3,11,0,14,0,13,0
Vadi (CT),0,0,7,0,3,4,7,0,0,0,1,6,0,7,0,7,0
Chokkalingapuram (Part),0,0,4,0,1,3,4,0,0,0,1,3,0,4,0,4,0
Melamattur,0,0,7,0,5,2,7,0,0,0,1,6,0,7,0,7,0
Kariseri,0,0,101,28,73,0,100,1,0,0,2,99,0,100,0,52,49
Vellur,0,0,17,0,10,7,14,2,1,0,5,12,0,17,0,17,0
Maraneri,1,1,195,51,100,47,197,0,2,3,86,107,0,197,0,193,1
Naranapuram (CT),0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0
Perayyampatti,0,0,108,12,91,5,107,1,0,2,9,97,5,102,0,98,9
Chinnakamanpatti,0,0,110,4,106,0,109,1,0,0,10,100,1,109,0,92,16
Karisalpatti,0,0,115,48,62,5,88,25,2,8,6,101,1,114,0,110,5
Mulliseval Muthusamipuram,1,0,102,17,84,2,103,0,0,0,20,83,2,101,0,64,39
Periagollapatti,0,0,103,100,3,0,103,0,0,0,16,86,2,100,0,101,0
Mudittalai Nagalapuram,0,0,117,87,21,10,106,12,0,3,9,105,0,116,0,81,34
Omattampatti,0,0,4,0,4,0,3,0,1,0,1,3,0,4,0,4,0
Nallamuthanpatti,0,0,9,0,7,2,7,2,0,1,3,5,0,9,0,8,1
Nalli,0,0,7,0,6,1,6,1,0,0,1,6,0,7,0,6,1
Uppattur,0,0,4,2,2,0,4,0,0,0,1,3,0,4,0,3,1
Mettamalai (CT),0,0,103,30,47,26,103,0,1,3,31,69,2,101,0,102,1
Sinduvampatti,0,0,53,0,39,14,51,1,1,0.832587502,2.967955889,26.17220713,0,53,0,0,53
N.Mettupatti (Nenmani),0,1,98,5,71,23,100,0,0,0.832587502,2.967955889,26.17220713,2,97,0,1,98
Sinduvampatti,0,0,104,25,53,27,102,1,2,0,14,90,26,78,11,92,1
N.Mettupatti (Nenmani),0,1,128,39,50,40,113,15,2,4,26,99,0,128,0,119,8
Banduvarpatti,0,1,4,3,2,0,5,0,0,0,0,5,0,5,0,5,0
Ayyampatti,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0
Chatrapatti (CT),0,0,4,0,3,1,3,1,0,0,0,4,2,2,0,3,1
Chinnagollapatti,0,0,6,0,2,4,2,3,1,0,0,6,1,5,0,6,0
Ammapatti,0,0,16,1,11,4,13,3,0,3,5,8,0,16,0,15,1
Athipatti,0,1,5,2,4,0,6,0,0,1,1,4,0,6,0,6,0
Surankudi,0,0,4,0,4,0,4,0,0,0,0,4,0,4,0,2,2
Mullisevel (a)Chokkalingapuram,0,0,4,0,4,0,4,0,0,0,0,4,2,2,0,4,0
Ravuthampatti,0,0,12,1,6,5,7,5,0,1,8,3,3,9,0,12,0
Chinnathambiyapuram,0,0,3,0,3,0,3,0,0,0,0,3,1,2,0,3,0
D.Chinnodaipatti,0,0,4,0,3,1,3,1,0,0,0,4,0,4,1,3,0
Ovanayakkanpatti,0,0,4,2,2,0,4,0,0,0,0,4,0,4,0,3,0
Subramaniyapuram,0,0,5,0,5,0,5,0,0,0,0,5,1,4,0,3,2
Peddureddipatti,0,0,16,1,6,9,7,9,0,0,12,4,0,16,0,11,5
Kottaipachcheri,0,0,5,0,5,0,4,1,0,0,1,4,0,5,0,4,1
Othaiyal,0,0,12,3,5,4,8,4,0,1,6,5,0,12,0,11,0
Pottireddiyapatti,0,0,14,0,3,11,3,11,0,0,5,9,2,12,0,11,2
Othaiyal Mettupatti,0,0,12,3,4,5,7,5,0,1,5,6,0,11,0,8,2
Nenmeni,0,0,11,0,6,5,6,5,0,1,3,7,0,11,0,11,0
Vadamalaipuram,0,0,7,0,7,0,7,0,0,0,1,6,0,7,0,3,4
Kattalampatti,0,0,10,1,5,4,6,4,0,0,5,5,0,8,0,7,1
Pappakudi,0,0,6,1,5,0,5,1,0,2,0,4,2,4,0,6,0
Kosukkundu,0,0,5,1,3,1,4,1,0,0,1,4,0,5,0,4,1
Kanjampatti,0,0,3,0,2,1,2,1,0,0,1,2,0,2,0,1,1
Padandal (CT),0,0,5,0,4,1,4,1,0,0,0,5,1,4,0,4,1
Melamadai,0,0,7,0,5,2,5,2,0,0,0,7,1,6,0,7,0
Sattur,0,0,7,1,4,2,5,2,0,0,1,6,0,7,0,5,0
Kundalakkuttu,0,0,6,0,6,0,6,0,0,0,0,6,1,5,0,6,0
Sirukulam,0,0,8,0,4,4,8,0,0,1,0,7,7,1,0,8,0
Sindapalli,0,0,9,2,6,1,8,1,0,2,1,6,1,8,0,6,1
Sankaranatham,0,0,7,1,3,3,4,3,0,0,2,5,1,6,0,7,0
Padandal (Part),0,0,1,1,0,1,0,1,1,0,0,2,0,2,0,2,0
Muthusamipuram,0,0,99,66,29,4,1,73,26,2,20,77,0,99,0,98,0
Sundararajapuram,0,0,102,96,4,2,92,10,0,1,35,66,0,102,0,98,4
Nathampatti,0,2,103,1,66,38,100,1,4,0,32,73,0,105,1,104,0
Gopalapuram,1,0,99,45,45,10,100,0,0,0,26,74,1,99,0,100,0
Ilandiraikondan,0,0,102,74,26,2,22,55,25,0,11,91,2,100,0,33,69
Vadakku Venganallur,0,0,9,0,7,2,6,1,2,1,0,8,0,9,0,9,0
Sholapuram,0,0,12,8,2,2,7,5,0,0,0,12,0,12,0,12,0
Kadambankulam,0,0,9,1,4,4,5,1,3,0,0,9,0,9,0,9,0
Melarajakularaman (Part),0,0,10,2,5,3,7,0,3,0,0,10,0,10,0,10,0
Solaicheri,0,0,7,4,3,0,7,0,0,0,1,6,0,7,0,7,0
Pudupalaiyam,0,0,5,0,5,0,5,0,0,0,0,5,0,5,0,5,0
Terkuvenganallur,0,0,7,1,6,0,7,0,0,0,0,7,0,7,0,7,0
Ramalingapuram (CT),0,0,7,0,6,1,7,0,0,0,4,2,0,6,0,6,0
Samusigapuram (CT),0,0,11,0,10,1,11,0,0,0,10,1,0,11,0,11,0
Vadagarai,0,0,16,5,10,1,15,1,0,0,2,13,0,15,0,14,0
Varagunaramapuram,0,0,3,2,1,0,3,0,0,0,0,3,0,3,0,3,0
Kuruchiyarpatti,0,0,5,3,2,0,5,0,0,0,0,4,0,5,0,4,0
Chokkanathaputtur,0,0,10,7,3,0,10,0,0,0,0,10,0,10,0,10,0
Settur RF,0,0,13,9,4,0,8,5,0,0,0,13,0,13,0,12,1
Melur Thuraisamiyapuram,0,0,7,4,2,1,7,0,0,0,0,7,0,7,0,7,0
Vadakkudevadanam,0,0,6,3,3,0,6,0,0,1,0,5,0,6,0,6,0
Chettiarpatti,0,0,8,0,5,3,0,8,0,0,0,8,0,8,0,8,0
Nallamangalam,0,0,10,5,2,3,1,8,1,0,0,10,0,10,0,9,1
Puthur,0,0,15,7,3,5,10,5,0,1,0,14,0,15,1,14,0
Ayan Kollankondan,0,0,26,7,5,14,16,0,10,0,0,26,0,26,0,26,0
Kovilur,0,0,8,0,5,3,0,8,0,0,0,8,0,8,0,8,0
Terku Devadanam,0,0,9,3,2,4,9,0,0,0,0,9,0,9,0,9,0
Kollankondan,1,0,16,3,8,6,4,11,2,0,0,17,0,17,0,17,0
Mettupatti,0,0,16,2,5,9,0,9,7,0,0,16,0,16,0,16,0
Tenkarai,1,0,94,82,0,13,82,0,13,0,42,53,0,95,0,95,0
Korukkampatti,0,0,100,99,0,1,86,14,0,3,94,3,100,0,100,0,0
Sammandapuram,0,0,2,0,0,2,0,0,2,0,0,2,0,2,0,2,0
Melapattamkarisalkulam,0,0,4,0,0,4,0,0,4,0,0,4,0,4,0,4,0
Naduvappacheri,0,0,56,0,0,56,29,21,6,0,0,56,0,56,0,51,5
Nathaikulam,0,0,104,0,0,105,45,59,1,1,10,93,0,104,0,66,38
Poombidagai,0,0,64,0,1,63,15,21,28,1,10,53,3,61,39,25,0
Theli,0,0,143,0,0,143,106,35,2,6,32,105,0,143,0,114,29
Katanur,0,0,112,0,0,112,79,26,7,7,33,72,7,105,0,109,3
Sorikulam,0,0,13,0,0,13,7,6,0,0,2,11,0,13,0,11,2
Thulukkanedungulam,0,0,55,0,0,55,4,12,39,0,1,54,2,53,1,54,0
Athithnanendal,0,1,104,5,39,61,24,57,24,21,21,63,1,104,1,103,0
Varisaiyur,0,1,153,0,15,139,32,110,12,17,53,84,1,153,20,134,0
Anaikulam,0,0,51,0,0,51,32,18,1,5,14,32,0,51,0,31,20
Usilangulam,0,0,5,0,1,4,1,3,1,0,2,3,0,5,0,5,0
Pulavaikkarai,0,0,105,0,0,105,19,83,3,6,23,76,0,105,2,103,0
Thimmapuram,0,0,105,0,0,105,25,64,16,8,15,82,1,104,0,91,14
Andiyendal,0,0,5,0,0,5,2,3,0,0,1,4,0,5,0,5,0
Sathiseri,0,0,5,0,0,5,1,3,1,0,2,3,0,5,0,5,0
Irunjirai,0,0,5,0,0,5,4,1,0,0,0,5,0,5,0,4,1
Velaneri,0,0,5,0,0,5,3,2,0,0,1,4,0,5,0,4,1
T.Velankudi,0,0,5,0,0,5,3,2,0,0,2,3,0,5,0,2,3
Damodarapuram,0,0,5,0,0,5,5,0,0,0,2,3,0,5,0,2,3
Kattanpatti,0,0,5,0,0,5,5,0,0,0,4,1,0,5,0,4,1
Illuppaiyur,0,0,5,0,0,5,5,0,0,2,3,0,0,5,0,5,0
Velanoorani,0,0,7,0,0,7,7,0,0,0,3,4,0,7,0,2,5
Alangulam,0,0,5,0,0,5,1,4,0,0,2,3,0,5,0,3,2
Regunathamadai,0,0,5,0,0,5,5,0,0,0,1,4,0,5,0,5,0
Panaiyur,0,0,5,0,0,5,5,0,0,0,3,2,0,5,0,1,4
